epoch,train_loss,val_loss
0,3108.929489135742,607.4298123446378
1,475.9108772277832,566.7330682927912
2,488.7610282897949,655.0081010298295
3,361.29344813028973,319.49923289905894
4,302.33576075236004,280.00458457253194
5,270.4822705586751,245.22644459117544
6,235.88493220011392,195.99806213378906
7,192.61691665649414,160.14053206010297
8,152.37113507588705,127.19321302934127
9,130.62332757314047,126.81916670365767
epoch,train_loss,val_loss
0,123.80816300710042,131.12539117986506
1,119.90555381774902,139.74776528098366
2,122.58765188852946,174.15884260697797
3,125.31993103027344,178.88927390358666
4,124.02416229248047,209.78522838245738
5,136.2592372894287,225.29009038751775
6,133.06093565622965,282.04820390181106
7,231.40578015645346,391.1057406338778
8,191.76259167989096,94.77945501154119
9,89.69254350662231,81.84842751242898
